g	s	f
7A5	5	f-41
A-575C2.4	15	f-14
A1BG-AS1	1	f-14
A1BG-AS1	1	f-16
A2BP1	5	f-41
A2BP1	7	f-13
A2BP1	7	f-25
A2LD1	2	f-16
A2LD1	2	f-25
A2LD1	23	f-62
A2LD1	29	f-61
A2LD1	51	f-63
A2M	15	f-62
A2M	19	f-14
A2M	2	f-13
A2M	37	f-35
A2M	4	f-25
A2M	41	f-63
A2M	44	f-61
A2M	82	f-392
A2M-AS1	197	f-390
A2M-AS1	201	f-391
A2M-AS1	239	f-91
A2M-AS1	267	f-39
A2M-AS1	3	f-14
A2M-AS1	3	f-37
A2M-AS1	5	f-302
A2M-AS1	53	f-92
A2M-AS1	92	f-27
A2M-AS1	95	f-35
A2M-AS1	99	f-392
A2ML1	2	f-14
A2ML1	2	f-25
A2MP1	140	f-12
A2MP1	141	f-391
A2MP1	15	f-35
A2MP1	169	f-91
A2MP1	19	f-36
A2MP1	28	f-14
A2MP1	64	f-38
A2MP1	68	f-92
A2MP1	69	f-37
A2MP1	69	f-390
A2MP1	78	f-39
A2MP1	78	f-392
A3GALT2	17	f-27
A3GALT2	197	f-12
A3GALT2	4	f-25
A3GALT2	88	f-92
A3GALT2P	4	f-14
A4GALT	10	f-213
A4GALT	126	f-12
A4GALT	184	f-13
A4GALT	26	f-63
A4GALT	34	f-61
A4GALT	37	f-62
A4GALT	6	f-14
A4GALT	6	f-212
A4GNT	1	f-14
A4GNT	168	f-27
AAAS	1	f-36
AAAS	2	f-14
AAAS	2	f-26
AAAS	5	f-61
AAAS	7	f-63
AACS	1	f-16
AACS	1	f-213
AACS	1	f-25
AACS	1	f-26
AACS	1	f-41
AACS	2	f-212
AACS	22	f-14
AACS	28	f-13
AACS	3	f-63
AACS	6	f-391
AACSP1	209	f-27
AADAC	1	f-36
AADACL1	10	f-61
AADACL1	16	f-13
AADACL1	22	f-63
AADACL1	35	f-62
AADACL1	7	f-26
AADACL2	1	f-41
AADACL2	6	f-13
AADACL3	18	f-13
AADACL4	1	f-25
AADAT	1	f-38
AADAT	1	f-63
AADAT	5	f-13
AADAT	5	f-25
AADAT	5	f-41
AAED1	1	f-14
AAED1	1	f-390
AAED1	4	f-28
AAGAB	1	f-12
AAGAB	11	f-14
AAGAB	2	f-27
AAK1	1	f-25
AAK1	1	f-26
AAK1	1	f-62
AAK1	2	f-63
AAK1	6	f-14
AAK1	6	f-28
AAMDC	12	f-12
AAMDC	2	f-27
AAMDC	5	f-14
AAMP	1	f-25
AAMP	20	f-26
AAMP	4	f-14
AAMP	6	f-13
AAMP	7	f-41
AANAT	1	f-211
AANAT	1	f-212
AANAT	1	f-213
AANAT	1	f-25
AANAT	48	f-12
AANAT	7	f-14
AAR2	10	f-12
AAR2	5	f-14
AARS	16	f-14
AARS	3	f-63
AARS	4	f-26
AARS	47	f-13
AARS2	1	f-212
AARS2	10	f-14
AARS2	2	f-61
AARS2	3	f-36
AARS2	4	f-63
AARS2	9	f-62
AARSD1	20	f-13
AARSD1	34	f-26
AARSD1	34	f-63
AASDH	1	f-212
AASDH	116	f-13
AASDH	15	f-61
AASDH	16	f-14
AASDH	16	f-26
AASDH	18	f-62
AASDH	188	f-12
AASDH	199	f-23
AASDH	199	f-71
AASDH	2	f-41
AASDH	20	f-63
AASDH	3	f-213
AASDH	83	f-33
AASDHPPT	1	f-16
AASDHPPT	1	f-41
AASDHPPT	17	f-62
AASDHPPT	2	f-61
AASDHPPT	21	f-26
AASDHPPT	28	f-63
AASDHPPT	4	f-25
AASDHPPT	417	f-13
AASS	1	f-12
AASS	1	f-62
AASS	10	f-391
AASS	11	f-390
AASS	11	f-91
AASS	12	f-39
AASS	13	f-38
AASS	13	f-392
AASS	17	f-36
AASS	18	f-92
AASS	19	f-35
AASS	2	f-28
AASS	21	f-37
AASS	25	f-14
AASS	29	f-42
AASS	6	f-33
AATF	1	f-25
AATF	1	f-26
AATF	1	f-39
AATF	1	f-391
AATF	11	f-14
AATF	17	f-13
AATF	2	f-61
AATF	8	f-63
AATF	9	f-62
AATK	1	f-16
AATK	1	f-39
AATK	1	f-63
AATK	10	f-390
AATK	11	f-61
AATK	14	f-62
AATK	19	f-23
AATK	19	f-71
AATK	2	f-392
AATK	3	f-211
AATK	3	f-212
AATK	4	f-22
AATK	43	f-14
AATK	5	f-213
AATK	60	f-12
AATK	89	f-13
AB015752.4	1	f-14
AB019440.50	1	f-392
AB019440.50	2	f-36
AB019441.29	1	f-92
ABAT	1	f-211
ABAT	1	f-212
ABAT	1	f-213
ABAT	1	f-225
ABAT	1	f-42
ABAT	1	f-51
ABAT	110	f-23
ABAT	110	f-71
ABAT	12	f-28
ABAT	13	f-62
ABAT	13	f-92
ABAT	16	f-25
ABAT	16	f-35
ABAT	165	f-13
ABAT	2	f-38
ABAT	2	f-41
ABAT	25	f-22
ABAT	25	f-61
ABAT	26	f-390
ABAT	3	f-12
ABAT	34	f-63
ABAT	37	f-26
ABAT	49	f-27
ABAT	74	f-14
ABAT	8	f-391
ABC11-48400900C8.1	1	f-14
ABC7-42389800N19.1	1	f-35
ABC7-42389800N19.1	1	f-37
ABC7-42389800N19.1	1	f-392
ABCA1	1	f-26
ABCA1	2	f-390
ABCA1	200	f-13
ABCA1	23	f-63
ABCA1	24	f-14
ABCA1	28	f-41
ABCA1	3	f-391
ABCA1	31	f-62
ABCA1	53	f-42
ABCA1	7	f-392
ABCA1	7	f-61
ABCA10	10	f-211
ABCA10	3	f-37
ABCA10	6	f-213
ABCA10	7	f-14
ABCA10	74	f-27
ABCA10	8	f-212
ABCA11P	1	f-91
ABCA11P	5	f-42
ABCA12	1	f-13
ABCA12	1	f-14
ABCA12	1	f-41
ABCA12	10	f-211
ABCA12	10	f-212
ABCA12	102	f-42
ABCA12	25	f-91
ABCA12	8	f-213
ABCA12	9	f-37
ABCA13	1	f-12
ABCA13	1	f-25
ABCA13	1	f-91
ABCA13	41	f-39
ABCA13	43	f-13
ABCA13	5	f-14
ABCA17P	1	f-92
ABCA17P	2	f-14
ABCA2	1	f-212
ABCA2	1	f-392
ABCA2	2	f-213
ABCA2	24	f-12
ABCA2	74	f-14
ABCA3	1	f-26
ABCA3	1	f-62
ABCA3	1	f-63
ABCA3	23	f-13
ABCA3	6	f-14
ABCA4	2	f-41
ABCA4	41	f-390
ABCA5	1	f-21
ABCA5	1	f-212
ABCA5	1	f-25
ABCA5	17	f-14
ABCA5	2	f-42
ABCA5	2	f-92
ABCA5	20	f-27
ABCA5	20	f-28
ABCA5	3	f-12
ABCA5	66	f-13
ABCA6	1	f-13
ABCA6	1	f-14
ABCA6	1	f-61
ABCA6	2	f-25
ABCA6	2	f-27
ABCA6	4	f-26
ABCA7	1	f-213
ABCA7	1	f-51
ABCA7	101	f-12
ABCA7	2	f-41
ABCA7	258	f-14
ABCA7	29	f-62
ABCA7	3	f-13
ABCA7	3	f-21
ABCA7	3	f-72
ABCA7	30	f-26
ABCA7	31	f-61
ABCA7	33	f-63
ABCA7	40	f-23
ABCA7	40	f-71
ABCA7	7	f-25
ABCA8	1	f-37
ABCA8	1	f-92
ABCA9	1	f-14
ABCA9	2	f-27
ABCA9	4	f-390
ABCB1	1	f-25
ABCB1	1	f-41
ABCB1	1	f-63
ABCB1	2	f-14
ABCB1	3	f-35
ABCB1	88	f-13
ABCB10	1	f-27
ABCB10	2	f-14
ABCB11	1	f-14
ABCB11	3	f-41
ABCB11	35	f-13
ABCB4	1	f-62
ABCB4	17	f-36
ABCB4	27	f-41
ABCB4	48	f-42
ABCB4	56	f-13
ABCB4	6	f-14
ABCB5	1	f-13
ABCB6	1	f-211
ABCB6	4	f-25
ABCB7	1	f-26
ABCB7	4	f-37
ABCB8	1	f-213
ABCB8	1	f-231
ABCB8	1	f-25
ABCB8	16	f-14
ABCB8	2	f-23
ABCB8	2	f-71
ABCB8	4	f-26
ABCB8	7	f-12
ABCB8	7	f-63
ABCB9	1	f-41
ABCB9	103	f-36
ABCB9	116	f-13
ABCB9	13	f-14
ABCB9	141	f-91
ABCB9	142	f-35
ABCB9	150	f-391
ABCB9	155	f-392
ABCB9	162	f-390
ABCB9	26	f-26
ABCB9	26	f-42
ABCB9	28	f-61
ABCB9	283	f-92
ABCB9	294	f-37
ABCB9	3	f-212
ABCB9	3	f-213
ABCB9	4	f-211
ABCB9	4	f-38
ABCB9	45	f-63
ABCB9	83	f-12
ABCB9	9	f-39
ABCC1	1	f-16
ABCC1	1	f-213
ABCC1	10	f-63
ABCC1	11	f-26
ABCC1	26	f-33
ABCC1	31	f-21
ABCC1	31	f-72
ABCC1	32	f-62
ABCC1	53	f-13
ABCC1	54	f-14
ABCC1	7	f-12
ABCC1	7	f-61
ABCC10	1	f-61
ABCC10	1	f-91
ABCC10	6	f-63
ABCC10	7	f-14
ABCC10	9	f-62
ABCC11	6	f-13
ABCC13	1	f-16
ABCC13	1	f-26
ABCC13	10	f-12
ABCC13	211	f-13
ABCC13	3	f-39
ABCC13	30	f-14
ABCC13	4	f-62
ABCC2	102	f-392
ABCC2	105	f-38
ABCC2	127	f-390
ABCC2	128	f-35
ABCC2	13	f-92
ABCC2	14	f-14
ABCC2	2	f-28
ABCC2	21	f-36
ABCC2	38	f-39
ABCC2	39	f-391
ABCC2	50	f-13
ABCC2	59	f-91
ABCC2	6	f-12
ABCC2	69	f-27
ABCC2	77	f-42
ABCC2	79	f-37
ABCC3	1	f-16
ABCC3	1	f-211
ABCC3	1	f-39
ABCC3	1	f-41
ABCC3	13	f-21
ABCC3	13	f-72
ABCC3	155	f-13
ABCC3	3	f-212
ABCC3	36	f-61
ABCC3	4	f-28
ABCC3	40	f-12
ABCC3	46	f-62
ABCC3	49	f-26
ABCC3	5	f-22
ABCC3	52	f-63
ABCC3	56	f-23
ABCC3	56	f-71
ABCC3	83	f-14
ABCC3	9	f-27
ABCC4	1	f-25
ABCC4	1	f-33
ABCC4	1	f-36
ABCC4	1	f-41
ABCC4	1	f-92
ABCC4	122	f-63
ABCC4	2	f-32
ABCC4	2	f-37
ABCC4	3	f-23
ABCC4	3	f-71
ABCC4	30	f-62
ABCC4	372	f-13
ABCC4	39	f-26
ABCC4	41	f-14
ABCC4	5	f-28
ABCC4	57	f-61
ABCC4	62	f-12
ABCC5	11	f-36
ABCC5	12	f-27
ABCC5	121	f-25
ABCC5	14	f-211
ABCC5	142	f-61
ABCC5	15	f-212
ABCC5	15	f-391
ABCC5	159	f-12
ABCC5	172	f-62
ABCC5	2	f-16
ABCC5	2	f-51
ABCC5	20	f-28
ABCC5	210	f-63
ABCC5	23	f-213
ABCC5	238	f-26
ABCC5	278	f-23
ABCC5	278	f-71
ABCC5	3	f-41
ABCC5	33	f-38
ABCC5	578	f-13
ABCC5	58	f-22
ABCC5	60	f-21
ABCC5	60	f-72
ABCC5	70	f-14
ABCC5	8	f-390
ABCC5-AS1	15	f-390
ABCC6	1	f-62
ABCC6	36	f-14
ABCC6	6	f-26
ABCC6	72	f-23
ABCC6	72	f-71
ABCC9	1	f-14
ABCC9	1	f-25
ABCC9	3	f-41
ABCD2	5	f-39
ABCD2	6	f-14
ABCD3	1	f-212
ABCD3	1	f-62
ABCD3	10	f-63
ABCD3	135	f-23
ABCD3	135	f-71
ABCD3	21	f-14
ABCD3	27	f-26
ABCD3	3	f-21
ABCD3	3	f-72
ABCD3	51	f-13
ABCD3	55	f-27
ABCD3	6	f-22
ABCD3	7	f-61
ABCD3	8	f-12
ABCD4	1	f-41
ABCD4	1	f-92
ABCD4	14	f-392
ABCD4	144	f-23
ABCD4	144	f-71
ABCD4	3	f-25
ABCD4	33	f-36
ABCD4	6	f-14
ABCE1	1	f-14
ABCF1	1	f-28
ABCF1	1	f-391
ABCF1	105	f-61
ABCF1	24	f-62
ABCF1	27	f-25
ABCF1	44	f-41
ABCF1	466	f-63
ABCF1	477	f-26
ABCF1	6	f-92
ABCF2	1	f-42
ABCF2	16	f-27
ABCF2	16	f-35
ABCF2	16	f-37
ABCF2	16	f-38
ABCF2	16	f-390
ABCF2	16	f-391
ABCF2	16	f-392
ABCF2	17	f-39
ABCF2	2	f-26
ABCF2	2	f-63
ABCF2	20	f-12
ABCF2	22	f-14
ABCF2	22	f-92
ABCF2	3	f-25
ABCF2	44	f-33
ABCF2	45	f-36
ABCF2	5	f-62
ABCF2	57	f-13
ABCF2	75	f-23
ABCF2	75	f-71
ABCF2P1	10	f-92
ABCF3	1	f-63
ABCF3	16	f-14
ABCF3	2	f-26
ABCF3	3	f-62
ABCG1	1	f-27
ABCG1	1	f-51
ABCG1	15	f-26
ABCG1	15	f-63
ABCG1	19	f-14
ABCG1	2	f-25
ABCG1	2	f-36
ABCG1	20	f-61
ABCG1	3	f-37
ABCG1	58	f-62
ABCG1	7	f-13
ABCG1	7	f-41
ABCG2	11	f-12
ABCG2	11	f-42
ABCG2	17	f-36
ABCG2	17	f-390
ABCG2	18	f-33
ABCG2	18	f-392
ABCG2	19	f-35
ABCG2	19	f-92
ABCG2	20	f-39
ABCG2	23	f-391
ABCG2	3	f-13
ABCG2	39	f-14
ABCG2	41	f-37
ABCG2	5	f-38
ABCG2	9	f-91
ABCG4	1	f-63
ABCG4	14	f-13
ABCG4	5	f-27
ABCG5	2	f-14
ABCG5	5	f-35
ABCG5	8	f-390
ABCG8	10	f-37
ABHD1	6	f-14
ABHD10	1	f-21
ABHD10	1	f-25
ABHD10	1	f-72
ABHD10	12	f-63
ABHD10	2	f-35
ABHD10	22	f-62
ABHD10	33	f-26
ABHD10	400	f-13
ABHD10	5	f-61
ABHD10	53	f-23
ABHD10	53	f-71
ABHD10	59	f-12
ABHD10	62	f-27
ABHD10	7	f-14
ABHD10	71	f-42
ABHD11	1	f-390
ABHD11	1	f-92
ABHD11	10	f-14
ABHD11	10	f-211
ABHD11	10	f-212
ABHD11	12	f-213
ABHD11	151	f-22
ABHD11	169	f-37
ABHD11	177	f-13
ABHD11	2	f-41
ABHD11	231	f-23
ABHD11	231	f-71
ABHD11	267	f-12
ABHD11	3	f-61
ABHD11	36	f-25
ABHD11	37	f-27
ABHD11	40	f-62
ABHD11	6	f-21
ABHD11	6	f-72
ABHD11	60	f-63
ABHD11	63	f-26
ABHD12	1	f-392
ABHD12	13	f-14
ABHD12	13	f-21
ABHD12	13	f-72
ABHD12	158	f-26
ABHD12	167	f-62
ABHD12	177	f-61
ABHD12	205	f-63
ABHD12	234	f-13
ABHD12	24	f-31
ABHD12	4	f-225
ABHD12	50	f-25
ABHD12	6	f-232
ABHD12	7	f-233
ABHD12	736	f-23
ABHD12	736	f-71
ABHD12	8	f-231
ABHD12	9	f-234
ABHD12	959	f-33
ABHD12B	1	f-51
ABHD12B	11	f-14
ABHD12B	2	f-61
ABHD12B	2	f-62
ABHD12B	24	f-12
ABHD12B	25	f-27
ABHD12B	26	f-28
ABHD12B	3	f-41
ABHD12B	4	f-25
ABHD12B	5	f-26
ABHD13	1	f-41
ABHD13	1	f-61
ABHD13	1	f-62
ABHD13	1	f-63
ABHD13	2	f-14
ABHD13	5	f-13
ABHD14A	1	f-26
ABHD14A	1	f-61
ABHD14A	2	f-14
ABHD14B	1	f-61
ABHD14B	1	f-62
ABHD14B	1	f-63
ABHD14B	2	f-12
ABHD14B	3	f-14
ABHD14B	3	f-26
ABHD14B	5	f-25
ABHD15	1	f-211
ABHD15	1	f-39
ABHD15	10	f-26
ABHD15	10	f-92
ABHD15	12	f-12
ABHD15	13	f-62
ABHD15	3	f-28
ABHD15	5	f-27
ABHD15	5	f-390
ABHD15	6	f-36
ABHD15	6	f-37
ABHD15	7	f-23
ABHD15	7	f-71
ABHD15	8	f-61
ABHD15	9	f-35
ABHD15	9	f-63
ABHD16A	1	f-38
ABHD16A	1	f-392
ABHD16A	1	f-42
ABHD17AP4	3	f-39
ABHD17AP5	17	f-27
ABHD17AP5	23	f-12
ABHD17AP6	7	f-91
ABHD17C	17	f-12
ABHD2	1	f-390
ABHD2	24	f-21
ABHD2	24	f-23
ABHD2	24	f-71
ABHD2	24	f-72
ABHD2	26	f-14
ABHD2	26	f-22
ABHD2	32	f-28
ABHD2	33	f-61
ABHD2	61	f-26
ABHD2	66	f-13
ABHD2	7	f-27
ABHD2	70	f-62
ABHD2	87	f-63
ABHD2	9	f-25
ABHD3	1	f-16
ABHD3	10	f-23
ABHD3	10	f-71
ABHD3	12	f-14
ABHD3	2	f-13
ABHD3	22	f-62
ABHD3	25	f-63
ABHD3	27	f-61
ABHD3	5	f-392
ABHD4	1	f-25
ABHD4	1	f-26
ABHD4	1	f-51
ABHD4	11	f-14
ABHD4	15	f-63
ABHD4	18	f-13
ABHD4	2	f-37
ABHD4	21	f-62
ABHD4	6	f-61
ABHD5	1	f-25
ABHD5	1	f-42
ABHD5	25	f-62
ABHD5	25	f-63
ABHD5	29	f-26
ABHD5	3	f-28
ABHD5	7	f-61
ABHD5	9	f-14
ABHD5	94	f-13
ABHD6	1	f-391
ABHD6	1	f-51
ABHD6	13	f-36
ABHD6	2	f-25
ABHD6	20	f-35
ABHD6	23	f-13
ABHD6	40	f-63
ABHD6	45	f-26
ABHD6	46	f-62
ABHD6	53	f-61
ABHD6	6	f-392
ABHD6	7	f-14
ABHD6	93	f-33
ABHD7	4	f-41
ABHD7	71	f-13
ABHD8	1	f-212
ABHD8	1	f-91
ABHD8	12	f-62
ABHD8	2	f-26
ABHD8	22	f-63
ABHD8	25	f-13
ABHD8	4	f-61
ABHD8	5	f-41
ABHD8	6	f-14
ABHD9	14	f-63
ABHD9	4	f-26
ABI1	10	f-63
ABI1	16	f-14
ABI1	2	f-38
ABI1	5	f-61
ABI1	6	f-26
ABI1	7	f-62
ABI2	1	f-14
ABI3	1	f-26
ABI3	1	f-37
ABI3	2	f-39
ABI3	3	f-63
ABI3	4	f-14
ABI3BP	1	f-13
ABI3BP	6	f-14
ABI3BP	7	f-36
ABL1	1	f-14
ABL1	1	f-27
ABL1	1	f-28
ABL1	1	f-61
ABL1	1	f-62
ABL1	2	f-41
ABL1	3	f-63
ABL1	5	f-26
ABL1	8	f-392
ABL2	1	f-16
ABL2	1	f-23
ABL2	1	f-71
ABL2	10	f-14
ABL2	16	f-61
ABL2	2	f-41
ABL2	20	f-63
ABL2	31	f-27
ABL2	355	f-12
ABL2	41	f-62
ABL2	48	f-28
ABLIM1	1	f-61
ABLIM1	1	f-91
ABLIM1	161	f-13
ABLIM1	2	f-25
ABLIM1	2	f-41
ABLIM1	3	f-14
ABLIM1	6	f-26
ABLIM1	8	f-63
ABLIM2	1	f-36
ABLIM2	1	f-41
ABLIM2	5	f-14
ABLIM3	13	f-14
ABLIM3	78	f-37
ABLIM3	86	f-13
ABO	1	f-16
ABO	1	f-224
ABO	11	f-211
ABO	168	f-28
ABO	18	f-12
ABO	19	f-14
ABO	2	f-25
ABO	231	f-27
ABO	31	f-392
ABO	31	f-42
ABO	32	f-36
ABO	32	f-37
ABO	33	f-39
ABO	33	f-91
ABO	34	f-38
ABO	34	f-390
ABO	34	f-92
ABO	35	f-35
ABO	35	f-391
ABO	4	f-225
ABO	5	f-223
ABO	8	f-213
ABO	9	f-212
ABP1	1	f-16
ABP1	1	f-41
ABP1	1	f-51
ABP1	12	f-14
ABP1	2	f-62
ABP1	259	f-13
ABP1	31	f-63
ABP1	34	f-25
ABP1	34	f-61
ABP1	60	f-26
ABR	1	f-25
ABR	1	f-51
ABR	11	f-63
ABR	15	f-61
ABR	3	f-28
ABR	5	f-12
ABR	55	f-14
ABR	6	f-38
ABR	7	f-62
ABR	9	f-26
ABR	97	f-13
ABRA	5	f-390
ABRACL	1	f-22
ABRACL	108	f-12
ABRACL	12	f-14
ABRACL	13	f-37
ABRACL	18	f-28
ABRACL	3	f-223
ABRACL	3	f-36
ABRACL	3	f-390
ABRACL	3	f-391
ABRACL	47	f-23
ABRACL	47	f-71
ABRACL	6	f-392
ABRACL	63	f-27
ABT1	115	f-42
ABT1	15	f-61
ABT1	22	f-25
ABT1	26	f-12
ABT1	51	f-62
ABT1	67	f-13
ABT1	68	f-63
ABT1	9	f-14
ABT1	96	f-26
ABTB1	1	f-211
ABTB1	1	f-392
ABTB1	121	f-23
ABTB1	121	f-71
ABTB1	16	f-14
ABTB1	2	f-51
ABTB1	25	f-25
ABTB1	3	f-213
ABTB1	30	f-12
ABTB1	360	f-13
ABTB1	4	f-212
ABTB1	49	f-62
ABTB1	51	f-63
ABTB1	55	f-61
ABTB1	6	f-38
ABTB1	6	f-41
ABTB1	99	f-26
ABTB2	1	f-63
ABTB2	10	f-61
ABTB2	195	f-12
ABTB2	21	f-14
ABTB2	38	f-13
AC000003.2	2	f-38
AC000029.1	1	f-14
AC000029.1	1	f-38
AC000032.2	29	f-12
AC000068.5	2	f-42
AC000078.5	1	f-91
AC000078.5	17	f-36
AC000078.5	2	f-390
AC000078.5	22	f-38
AC000078.5	26	f-92
AC000078.5	3	f-14
AC000078.5	3	f-39
AC000078.5	44	f-37
AC000078.5	7	f-391
AC000078.5	70	f-27
AC000078.5	88	f-392
AC000078.5	96	f-12
AC000081.2	1	f-390
AC000089.3	1	f-39
AC000095.9	298	f-12
AC000111.6	1	f-14
AC000123.4	1	f-14
AC000123.4	46	f-42
AC002044.4	2	f-391
AC002056.3	1	f-92
AC002059.10	1	f-37
AC002064.4	2	f-36
AC002075.4	2	f-92
AC002115.5	7	f-36
AC002115.9	2	f-37
AC002116.7	1	f-14
AC002116.7	3	f-36
AC002117.1	1	f-14
AC002128.4	1	f-14
AC002306.1	1	f-14
AC002310.12	2	f-14
AC002314.4	7	f-36
AC002331.1	2	f-14
AC002331.1	32	f-37
AC002398.11	1	f-14
AC002398.13	62	f-12
AC002398.5	7	f-14
AC002398.5	75	f-27
AC002398.5	8	f-12
AC002400.1	1	f-14
AC002401.1	1	f-92
AC002401.1	14	f-27
AC002451.3	12	f-12
AC002451.3	151	f-28
AC002451.3	4	f-14
AC002451.3	46	f-27
AC002456.2	3	f-14
AC002456.2	43	f-12
AC002467.7	1	f-36
AC002467.7	2	f-14
AC002467.7	25	f-92
AC002467.7	29	f-27
AC002467.7	29	f-35
AC002467.7	50	f-12
AC002472.11	3	f-39
AC002480.3	66	f-35
AC002480.5	1	f-14
AC002511.1	1	f-27
AC002511.1	10	f-36
AC002511.1	30	f-12
AC002511.1	6	f-14
AC002511.2	2	f-91
AC002511.2	3	f-12
AC002511.2	3	f-14
AC002511.3	3	f-14
AC002511.3	4	f-12
AC002511.3	7	f-36
AC002519.8	104	f-91
AC002519.8	105	f-390
AC002519.8	11	f-92
AC002519.8	111	f-391
AC002519.8	116	f-39
AC002519.8	124	f-42
AC002519.8	150	f-36
AC002519.8	165	f-35
AC002519.8	29	f-392
AC002519.8	49	f-38
AC002519.8	79	f-37
AC002543.2	1	f-92
AC002550.5	288	f-12
AC002553.4	11	f-37
AC002984.2	1	f-14
AC002984.2	2	f-28
AC003029.1	493	f-12
AC003075.4	3	f-14
AC003084.2	1	f-14
AC003084.2	12	f-391
AC003084.2	129	f-92
AC003084.2	326	f-35
AC003088.1	2	f-392
AC003090.1	4	f-92
AC003092.1	5	f-390
AC003092.2	4	f-390
AC003102.3	1	f-14
AC003102.3	31	f-12
AC003104.1	1	f-14
AC003664.1	1	f-27
AC003665.1	1	f-14
AC003665.1	1	f-27
AC003681.1	2	f-392
AC003682.17	1	f-35
AC003956.1	1	f-390
AC003956.1	2	f-14
AC003956.1	4	f-91
AC003986.7	4	f-37
AC003989.3	1	f-37
AC003989.4	4	f-27
AC003991.3	89	f-12
AC003999.3	1	f-13
AC004000.1	2	f-27
AC004014.3	1	f-14
AC004017.1	1	f-14
AC004017.1	2	f-391
AC004019.10	6	f-13
AC004019.13	1	f-38
AC004051.2	2	f-92
AC004051.2	6	f-36
AC004053.1	141	f-13
AC004053.1	44	f-390
AC004057.1	10	f-92
AC004057.1	2	f-35
AC004076.7	1	f-14
AC004076.9	1	f-14
AC004125.3	5	f-27
AC004129.7	2	f-14
AC004152.6	1	f-14
AC004156.3	2	f-14
AC004159.1	1	f-35
AC004166.6	1	f-12
AC004166.6	1	f-36
AC004166.6	2	f-14
AC004166.6	8	f-28
AC004166.7	11	f-14
AC004221.2	1	f-92
AC004231.2	206	f-12
AC004231.2	5	f-14
AC004237.1	39	f-39
AC004241.2	3	f-13
AC004257.3	1	f-14
AC004381.6	1	f-14
AC004410.1	1	f-13
AC004410.3	9	f-391
AC004447.2	1	f-91
AC004447.2	3	f-28
AC004448.2	1	f-14
AC004449.6	1	f-14
AC004453.8	1	f-39
AC004463.6	1	f-391
AC004463.6	5	f-39
AC004463.6	8	f-28
AC004466.1	1	f-35
AC004471.10	2	f-392
AC004471.10	75	f-390
AC004471.9	4	f-35
AC004475.1	1	f-14
AC004490.1	1	f-27
AC004490.1	11	f-38
AC004538.3	2	f-14
AC004538.3	3	f-92
AC004540.5	1	f-12
AC004540.5	5	f-28
AC004540.5	8	f-14
AC004593.2	1	f-14
AC004696.1	73	f-33
AC004696.2	5	f-14
AC004702.2	20	f-392
AC004771.1	1	f-392
AC004771.1	12	f-38
AC004791.2	10	f-14
AC004791.2	166	f-12
AC004797.1	12	f-37
AC004797.1	3	f-28
AC004797.1	9	f-391
AC004824.2	4	f-14
AC004836.2	17	f-13
AC004840.8	1	f-14
AC004840.8	28	f-27
AC004840.9	1	f-36
AC004840.9	2	f-27
AC004840.9	26	f-12
AC004840.9	7	f-14
AC004870.5	1	f-92
AC004870.5	14	f-391
AC004878.3	5	f-14
AC004878.5	5	f-35
AC004893.10	1	f-14
AC004893.10	8	f-42
AC004893.11	2	f-14
AC004893.11	73	f-91
AC004895.4	1	f-14
AC004899.3	1	f-14
AC004899.3	1	f-35
AC004899.3	1	f-38
AC004899.3	31	f-92
AC004906.3	2	f-39
AC004906.3	29	f-27
AC004941.3	1	f-92
AC004947.2	1	f-38
AC004951.5	1	f-28
AC004951.5	1	f-92
AC004951.5	17	f-27
AC004951.5	25	f-37
AC004951.5	4	f-14
AC004951.5	6	f-391
AC004951.5	7	f-390
AC004951.5	79	f-12
AC004951.5	8	f-38
AC004967.7	2	f-12
AC004967.7	3	f-392
AC004967.7	40	f-28
AC004967.7	62	f-91
AC004967.7	75	f-391
AC004967.7	76	f-38
AC004967.7	81	f-35
AC004967.7	81	f-36
AC004967.7	82	f-39
AC004967.7	82	f-92
AC004967.7	85	f-390
AC004967.7	9	f-14
AC004967.7	92	f-42
AC004967.8	1	f-14
AC004980.1	2	f-35
AC004980.10	1	f-39
AC004980.10	27	f-391
AC004980.10	7	f-92
AC004980.11	1	f-42
AC004980.11	1	f-92
AC004980.11	3	f-14
AC004980.11	6	f-28
AC004980.7	1	f-39
AC004980.7	361	f-12
AC004980.7	4	f-14
AC004980.8	1	f-92
AC004980.8	2	f-14
AC004980.8	5	f-35
AC004980.9	1	f-14
AC004980.9	1	f-27
AC004980.9	1	f-42
AC004980.9	20	f-35
AC004980.9	224	f-12
AC004980.9	39	f-92
AC004985.12	1	f-12
AC004985.12	1	f-14
AC004985.12	1	f-39
AC004985.12	20	f-392
AC004985.12	3	f-42
AC004985.12	4	f-37
AC004985.12	6	f-391
AC004985.12	7	f-36
AC004987.9	2	f-391
AC005007.3	12	f-37
AC005019.2	12	f-92
AC005019.2	2	f-28
AC005020.1	1	f-92
AC005022.1	1	f-14
AC005029.1	21	f-42
AC005034.3	1	f-37
AC005034.3	6	f-92
AC005037.6	31	f-38
AC005041.11	1	f-14
AC005041.17	1	f-14
AC005041.17	110	f-392
AC005041.17	14	f-35
AC005041.17	148	f-92
AC005041.17	165	f-38
AC005041.17	167	f-391
AC005041.17	170	f-36
AC005041.17	183	f-390
AC005041.17	67	f-39
AC005041.17	73	f-12
AC005041.17	98	f-37
AC005042.3	9	f-38
